Game ID,Date,Time,Venue,Gender,Level,Home Team,Away Team,Conference
156-HSG24,9/14/2024,11:00 AM,Roseville High School,Girls,Varsity,Roseville,Osseo,SEC
152-HSB24,9/14/2024,1:00 PM,Forest Lake High School,Boys,Varsity,Forest Lake,Hastings,SEC
157-HSG24,9/14/2024,1:00 PM,Hastings High School,Girls,Varsity,Hastings,Minnetonka,MEC
153-HSB24,9/14/2024,1:00 PM,Roseville High School,Boys,Varsity,Roseville,Osseo,SEC
245-HSB24,9/14/2024,1:00 PM,Two Rivers High School,Boys,JV,Two Rivers,Woodbury,MEC
151-HSB24,9/14/2024,3:00 PM,Cretin-Derham Hall,Boys,Varsity,Cretin-Derham Hall,Owatonna,SEC
150-HSB24,9/14/2024,3:00 PM,Two Rivers High School,Boys,Varsity,Two Rivers,Woodbury,MEC
158-HSB24,9/17/2024,5:00 PM,East Ridge High School,Boys,Varsity,East Ridge,White Bear Lake,SEC
159-HSB24,9/17/2024,5:00 PM,Irondale High School,Boys,Varsity,Irondale,Cretin-Derham Hall,SEC
154-HSB24,9/17/2024,5:00 PM,Mahtomedi High School,Boys,Varsity,Mahtomedi,Hastings,MEC
160-HSB24,9/17/2024,5:00 PM,Mounds View High School,Boys,Varsity,Mounds View,Stillwater,SEC
161-HSB24,9/17/2024,5:00 PM,Park High School,Boys,Varsity,Park,Woodbury,SEC
162-HSB24,9/17/2024,5:00 PM,Roseville High School,Boys,Varsity,Roseville,Forest Lake,SEC
156-HSB24,9/17/2024,5:00 PM,Tartan High School,Boys,Varsity,Tartan,Hill-Murray,MEC
165-HSG24,9/17/2024,5:00 PM,Two Rivers High School,Girls,Varsity,Two Rivers,North St Paul,MEC
246-HSB24,9/17/2024,5:15 PM,Two Rivers High School,Boys,JV,Two Rivers,North St Paul,MEC
158-HSG24,9/17/2024,7:00 PM,East Ridge High School,Girls,Varsity,East Ridge,White Bear Lake,SEC
159-HSG24,9/17/2024,7:00 PM,Irondale High School,Girls,Varsity,Irondale,Cretin-Derham Hall,SEC
163-HSG24,9/17/2024,7:00 PM,Mahtomedi High School,Girls,Varsity,Mahtomedi,Hastings,MEC
160-HSG24,9/17/2024,7:00 PM,Mounds View High School,Girls,Varsity,Mounds View,Stillwater,SEC
161-HSG24,9/17/2024,7:00 PM,Park High School,Girls,Varsity,Park,Woodbury,SEC
162-HSG24,9/17/2024,7:00 PM,Roseville High School,Girls,Varsity,Roseville,Forest Lake,SEC
155-HSB24,9/17/2024,7:00 PM,St Thomas Academy,Boys,Varsity,St Thomas Academy,Simley,MEC
164-HSG24,9/17/2024,7:00 PM,Tartan High School,Girls,Varsity,Tartan,Hill-Murray,MEC
157-HSB24,9/17/2024,7:00 PM,Two Rivers High School,Boys,Varsity,Two Rivers,North St Paul,MEC
232-HSB24,9/18/2024,3:45 PM,Hastings High School,Boys,C-Squad,Hastings,Mahtomedi,MEC
233-HSG24,9/18/2024,5:15 PM,Hastings High School,Girls,C-Squad,Hastings,Mahtomedi,MEC
167-HSB24,9/19/2024,5:00 PM,Cretin-Derham Hall,Boys,Varsity,Cretin-Derham Hall,Mounds View,SEC
168-HSB24,9/19/2024,5:00 PM,Forest Lake High School,Boys,Varsity,Forest Lake,East Ridge,SEC
171-HSG24,9/19/2024,5:00 PM,Hill-Murray High School,Girls,Varsity,Hill-Murray,Anoka,MEC
172-HSG24,9/19/2024,5:00 PM,Simley High School,Girls,Varsity,Simley,North St Paul,MEC
165-HSB24,9/19/2024,5:00 PM,South St Paul High School,Boys,Varsity,South St Paul,Two Rivers,MEC
169-HSB24,9/19/2024,5:00 PM,Stillwater High School,Boys,Varsity,Stillwater,Roseville,SEC
174-HSG24,9/19/2024,5:00 PM,Tartan High School,Girls,Varsity,Tartan,Hastings,MEC
170-HSB24,9/19/2024,5:00 PM,White Bear Lake North High School,Boys,Varsity,White Bear Lake,Park,SEC
171-HSB24,9/19/2024,5:00 PM,Woodbury High School,Boys,Varsity,Woodbury,Irondale,SEC
166-HSG24,9/19/2024,7:00 PM,Cretin-Derham Hall,Girls,Varsity,Cretin-Derham Hall,Mounds View,SEC
167-HSG24,9/19/2024,7:00 PM,Forest Lake High School,Girls,Varsity,Forest Lake,East Ridge,SEC
164-HSB24,9/19/2024,7:00 PM,Simley High School,Boys,Varsity,Simley,North St Paul,MEC
173-HSG24,9/19/2024,7:00 PM,South St Paul High School,Girls,Varsity,South St Paul,Two Rivers,MEC
163-HSB24,9/19/2024,7:00 PM,St Thomas Academy,Boys,Varsity,St Thomas Academy,Mahtomedi,MEC
168-HSG24,9/19/2024,7:00 PM,Stillwater High School,Girls,Varsity,Stillwater,Roseville,SEC
166-HSB24,9/19/2024,7:00 PM,Tartan High School,Boys,Varsity,Tartan,Hastings,MEC
169-HSG24,9/19/2024,7:00 PM,White Bear Lake North High School,Girls,Varsity,White Bear Lake,Park,SEC
170-HSG24,9/19/2024,7:00 PM,Woodbury High School,Girls,Varsity,Woodbury,Irondale,SEC
234-HSG24,9/20/2024,3:45 PM,Hastings High School,Girls,C-Squad,Hastings,Tartan,MEC
233-HSB24,9/20/2024,5:15 PM,Hastings High School,Boys,C-Squad,Hastings,Tartan,MEC
175-HSG24,9/21/2024,12:00 PM,Hill-Murray High School,Girls,Varsity,Hill-Murray,Eagan,MEC
300-HSB24,9/21/2024,12:00 PM,Irondale High School,Boys,Varsity,Irondale,Henry High School,SEC
239-HSG24,9/21/2024,12:00 PM,Mahtomedi High School,Girls,Varsity,Mahtomedi,'Benilde-St Margaret''s',MEC
240-HSB24,9/21/2024,2:00 PM,Mahtomedi High School,Boys,Varsity,Mahtomedi,'Benilde-St Margaret''s',MEC
172-HSB24,9/21/2024,3:00 PM,East Ridge High School,Boys,Varsity,East Ridge,Two Rivers,SEC
173-HSB24,9/21/2024,7:00 PM,Park High School,Boys,Varsity,Park,Shakopee,SEC
234-HSB24,9/24/2024,3:45 PM,Hastings High School,Boys,JV,Hastings,Hill-Murray,MEC
176-HSG24,9/24/2024,5:00 PM,East Ridge High School,Girls,Varsity,East Ridge,Stillwater,SEC
174-HSB24,9/24/2024,5:00 PM,Hastings High School,Boys,Varsity,Hastings,Hill-Murray,MEC
182-HSG24,9/24/2024,5:00 PM,Mahtomedi High School,Girls,Varsity,Mahtomedi,Simley,MEC
177-HSG24,9/24/2024,5:00 PM,Mounds View High School,Girls,Varsity,Mounds View,Irondale,SEC
178-HSG24,9/24/2024,5:00 PM,Park High School,Girls,Varsity,Park,Forest Lake,SEC
179-HSG24,9/24/2024,5:00 PM,Roseville High School,Girls,Varsity,Roseville,Cretin-Derham Hall,SEC
177-HSB24,9/24/2024,5:00 PM,Tartan High School,Boys,Varsity,Tartan,South St Paul,MEC
180-HSG24,9/24/2024,5:00 PM,White Bear Lake North High School,Girls,Varsity,White Bear Lake,Woodbury,SEC
235-HSG24,9/24/2024,5:15 PM,Hastings High School,Girls,JV,Hastings,Hill-Murray,MEC
247-HSB24,9/24/2024,5:15 PM,Two Rivers High School,Boys,JV,Two Rivers,St Thomas Academy,MEC
179-HSB24,9/24/2024,7:00 PM,East Ridge High School,Boys,Varsity,East Ridge,Stillwater,SEC
181-HSG24,9/24/2024,7:00 PM,Hastings High School,Girls,Varsity,Hastings,Hill-Murray,MEC
175-HSB24,9/24/2024,7:00 PM,Mahtomedi High School,Boys,Varsity,Mahtomedi,Simley,MEC
180-HSB24,9/24/2024,7:00 PM,Mounds View High School,Boys,Varsity,Mounds View,Irondale,SEC
176-HSB24,9/24/2024,7:00 PM,North St Paul High School,Boys,Varsity,North St Paul,Washington Technology Magnet,MEC
181-HSB24,9/24/2024,7:00 PM,Park High School,Boys,Varsity,Park,Forest Lake,SEC
182-HSB24,9/24/2024,7:00 PM,Roseville High School,Boys,Varsity,Roseville,Cretin-Derham Hall,SEC
183-HSG24,9/24/2024,7:00 PM,Tartan High School,Girls,Varsity,Tartan,South St Paul,MEC
178-HSB24,9/24/2024,7:00 PM,Two Rivers High School,Boys,Varsity,Two Rivers,St Thomas Academy,MEC
183-HSB24,9/24/2024,7:00 PM,White Bear Lake North High School,Boys,Varsity,White Bear Lake,Woodbury,SEC
184-HSG24,9/26/2024,5:00 PM,Forest Lake High School,Girls,Varsity,Forest Lake,White Bear Lake,SEC
188-HSG24,9/26/2024,5:00 PM,Hill-Murray High School,Girls,Varsity,Hill-Murray,Two Rivers,MEC
185-HSG24,9/26/2024,5:00 PM,Irondale High School,Girls,Varsity,Irondale,Roseville,SEC
186-HSB24,9/26/2024,5:00 PM,Mahtomedi High School,Boys,Varsity,Mahtomedi,North St Paul,MEC
187-HSB24,9/26/2024,5:00 PM,South St Paul High School,Boys,Varsity,South St Paul,Simley,MEC
186-HSG24,9/26/2024,5:00 PM,Stillwater High School,Girls,Varsity,Stillwater,Park,SEC
187-HSG24,9/26/2024,5:00 PM,Woodbury High School,Girls,Varsity,Woodbury,Mounds View,SEC
235-HSB24,9/26/2024,5:15 PM,Hastings High School,Boys,JV,Hastings,St Thomas Academy,MEC
188-HSB24,9/26/2024,7:00 PM,Forest Lake High School,Boys,Varsity,Forest Lake,White Bear Lake,SEC
184-HSB24,9/26/2024,7:00 PM,Hastings High School,Boys,Varsity,Hastings,St Thomas Academy,MEC
185-HSB24,9/26/2024,7:00 PM,Hill-Murray High School,Boys,Varsity,Hill-Murray,Two Rivers,MEC
189-HSB24,9/26/2024,7:00 PM,Irondale High School,Boys,Varsity,Irondale,Roseville,SEC
189-HSG24,9/26/2024,7:00 PM,Mahtomedi High School,Girls,Varsity,Mahtomedi,North St Paul,MEC
190-HSG24,9/26/2024,7:00 PM,South St Paul High School,Girls,Varsity,South St Paul,Simley,MEC
190-HSB24,9/26/2024,7:00 PM,Stillwater High School,Boys,Varsity,Stillwater,Park,SEC
191-HSB24,9/26/2024,7:00 PM,Woodbury High School,Boys,Varsity,Woodbury,Mounds View,SEC
191-HSG24,9/28/2024,10:00 AM,Cretin-Derham Hall,Girls,Varsity,Cretin-Derham Hall,East Ridge,SEC
192-HSG24,9/28/2024,11:00 AM,Hill-Murray High School,Girls,Varsity,Hill-Murray,'Benilde-St Margaret''s',MEC
193-HSB24,9/28/2024,12:00 PM,Cretin-Derham Hall,Boys,Varsity,Cretin-Derham Hall,East Ridge,SEC
241-HSB24,9/28/2024,12:00 PM,Mahtomedi High School,Boys,Varsity,Mahtomedi,Mounds View,MEC
192-HSB24,9/28/2024,1:00 PM,Hill-Murray High School,Boys,Varsity,Hill-Murray,'Benilde-St Margaret''s',MEC
240-HSG24,9/28/2024,2:00 PM,Mahtomedi High School,Girls,Varsity,Mahtomedi,Mounds View,MEC
194-HSB24,9/28/2024,7:00 PM,Park High School,Boys,Varsity,Park,Hastings,SEC
