Game ID,Date,Time,Venue,Gender,Level,Home Team,Away Team,Conference
242-HSG24,8/27/2024,2:00 PM,Two Rivers High School,Girls,JV,Two Rivers,Rochester John Marshall,MEC
226-HSG24,8/27/2024,3:00 PM,Hastings High School,Girls,JV,Hastings,Shakopee,MEC
227-HSG24,8/27/2024,3:00 PM,Hastings High School,Girls,C-Squad,Hastings,Shakopee,MEC
224-HSB24,8/27/2024,3:00 PM,Hastings High School,Boys,C-Squad,Hastings,Irondale,MEC
223-HSB24,8/27/2024,5:00 PM,Hastings High School,Boys,JV,Hastings,Irondale,MEC
113-HSG24,8/27/2024,5:00 PM,Hastings High School,Girls,Varsity,Hastings,Shakopee,MEC
113-HSB24,8/27/2024,5:00 PM,Park High School,Boys,Varsity,Park,Burnsville,SEC
111-HSB24,8/27/2024,5:00 PM,South St Paul High School,Boys,Varsity,South St Paul,Jordan,MEC
242-HSB24,8/27/2024,5:00 PM,Two Rivers High School,Boys,JV,Two Rivers,St Paul Central,MEC
221-HSG24,8/27/2024,7:00 PM,Hastings High School,Boys,Varsity,Hastings,Irondale,MEC
111-HSG24,8/27/2024,7:00 PM,Irondale High School,Girls,Varsity,Irondale,Cambridge-Isanti,SEC
112-HSG24,8/27/2024,7:00 PM,Park High School,Girls,Varsity,Park,Burnsville,SEC
112-HSB24,8/27/2024,7:00 PM,Two Rivers High School,Boys,Varsity,Two Rivers,St Paul Central,MEC
114-HSG24,8/28/2024,7:00 PM,Cretin-Derham Hall,Girls,Varsity,Cretin-Derham Hall,South St Paul,SEC
239-HSB24,8/28/2024,7:00 PM,Mahtomedi High School,Boys,Varsity,Mahtomedi,Roseville,MEC
115-HSG24,8/29/2024,3:00 PM,Park High School,Girls,Varsity,Park,Hastings,SEC
243-HSB24,8/29/2024,3:00 PM,Two Rivers High School,Boys,JV,Two Rivers,Stillwater,MEC
116-HSG24,8/29/2024,5:00 PM,Hill-Murray High School,Girls,Varsity,Hill-Murray,East Ridge,MEC
115-HSB24,8/29/2024,5:00 PM,Two Rivers High School,Boys,Varsity,Two Rivers,Stillwater,MEC
243-HSG24,8/29/2024,5:00 PM,Two Rivers High School,Girls,JV,Two Rivers,Minnetonka,MEC
114-HSB24,8/29/2024,7:00 PM,Hill-Murray High School,Boys,Varsity,Hill-Murray,East Ridge,MEC
238-HSG24,8/29/2024,7:00 PM,Mahtomedi High School,Girls,Varsity,Mahtomedi,Woodbury,MEC
117-HSG24,8/29/2024,7:00 PM,Two Rivers High School,Girls,Varsity,Two Rivers,Minnetonka,MEC
